fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
2018-07-29,UA,UA_CODESHARE,UA,3457,YX,N639RW,3457,11413,DRO,"Durango, CO",11292,DEN,"Denver, CO",1304,1257,-7,20,1317,1401,10,1414,1411,-3,0,,0,N,70,74,44,1,250,,,,,,,,,
2018-02-04,AA,AA,AA,2646,AA,N920NN,2646,10423,AUS,"Austin, TX",11298,DFW,"Dallas/Fort Worth, TX",1750,1745,-5,12,1757,1832,11,1902,1843,-19,0,,0,N,72,58,35,1,190,,,,,,,,,
2019-03-16,AA,AA_CODESHARE,AA,4824,PT,N690AE,4824,11042,CLE,"Cleveland, OH",14100,PHL,"Philadelphia, PA",1313,1305,-8,13,1318,1413,5,1440,1418,-22,0,,0,N,87,73,55,1,363,,,,,,,,,
2018-02-25,DL,DL_CODESHARE,DL,3553,OO,N433SW,3553,13930,ORD,"Chicago, IL",11193,CVG,"Cincinnati, OH",1745,1742,-3,24,1806,1950,6,2005,1956,-9,0,,0,N,80,74,44,1,264,,,,,,,,,
2019-03-19,WN,WN,WN,727,WN,N7842A,727,11433,DTW,"Detroit, MI",10397,ATL,"Atlanta, GA",725,737,12,26,803,935,11,930,946,16,0,,0,N,125,129,92,1,594,12,0,4,0,0,,,,
2019-10-22,UA,UA_CODESHARE,UA,3947,ZW,N456ZW,3947,12339,IND,"Indianapolis, IN",12264,IAD,"Washington, DC",1010,1046,36,15,1101,1208,6,1150,1214,24,0,,0,N,100,88,67,1,476,0,0,0,0,24,,,,
2018-02-06,DL,DL,DL,1736,DL,N936DN,1736,10397,ATL,"Atlanta, GA",11066,CMH,"Columbus, OH",2221,2221,0,22,2243,2349,5,2355,2354,-1,0,,0,N,94,93,66,1,447,,,,,,,,,
2019-10-06,DL,DL,DL,2832,DL,N926DZ,2832,14057,PDX,"Portland, OR",11433,DTW,"Detroit, MI",1219,1218,-1,9,1227,1908,8,1924,1916,-8,0,,0,N,245,238,221,1,1953,,,,,,,,,
2018-10-04,DL,DL,DL,2625,DL,N803DN,2625,14524,RIC,"Richmond, VA",10397,ATL,"Atlanta, GA",545,541,-4,10,551,656,4,726,700,-26,0,,0,N,101,79,65,1,481,,,,,,,,,
2019-08-13,DL,DL,DL,2534,DL,N913DN,2534,14492,RDU,"Raleigh/Durham, NC",10397,ATL,"Atlanta, GA",1956,2229,153,11,2240,2339,5,2134,2344,130,0,,0,N,98,75,59,1,356,0,0,0,0,130,,,,
2019-03-11,UA,UA,UA,2027,UA,N31412,2027,12266,IAH,"Houston, TX",14100,PHL,"Philadelphia, PA",1225,1215,-10,19,1234,1620,5,1644,1625,-19,0,,0,N,199,190,166,1,1325,,,,,,,,,
2018-10-23,AA,AA,AA,1745,AA,N716UW,1745,11278,DCA,"Washington, DC",15304,TPA,"Tampa, FL",1930,1921,-9,30,1951,2149,6,2150,2155,5,0,,0,N,140,154,118,1,814,,,,,,,,,
2018-07-12,AA,AA_CODESHARE,AA,5084,OH,N703PS,5084,11057,CLT,"Charlotte, NC",15412,TYS,"Knoxville, TN",940,934,-6,23,957,1032,2,1045,1034,-11,0,,0,N,65,60,35,1,177,,,,,,,,,
2019-08-24,NK,NK,NK,943,NK,N608NK,943,10158,ACY,"Atlantic City, NJ",14635,RSW,"Fort Myers, FL",1815,1806,-9,12,1818,2023,4,2050,2027,-23,0,,0,N,155,141,125,1,982,,,,,,,,,
2018-06-23,B6,B6,B6,718,B6,N203JB,718,12478,JFK,"New York, NY",10721,BOS,"Boston, MA",2255,2249,-6,43,2332,7,4,14,11,-3,0,,0,N,79,82,35,1,187,,,,,,,,,
2019-04-04,WN,WN,WN,660,WN,N469WN,660,13198,MCI,"Kansas City, MO",13232,MDW,"Chicago, IL",2230,2332,62,6,2338,34,3,2350,37,47,0,,0,N,80,65,56,1,405,0,0,0,0,47,,,,
2018-11-18,UA,UA,UA,1176,UA,N806UA,1176,11292,DEN,"Denver, CO",10397,ATL,"Atlanta, GA",1230,1225,-5,10,1235,1651,8,1717,1659,-18,0,,0,N,167,154,136,1,1199,,,,,,,,,
2018-08-02,UA,UA_CODESHARE,UA,5719,OO,N709BR,5719,11292,DEN,"Denver, CO",11603,EUG,"Eugene, OR",1226,1220,-6,15,1235,1401,5,1418,1406,-12,0,,0,N,172,166,146,1,996,,,,,,,,,
2019-12-13,AA,AA_CODESHARE,AA,5071,OH,N610NN,5071,12945,LEX,"Lexington, KY",11057,CLT,"Charlotte, NC",1347,1347,0,15,1402,1503,6,1519,1509,-10,0,,0,N,92,82,61,1,281,,,,,,,,,
2018-08-23,DL,DL,DL,1950,DL,N339DN,1950,14869,SLC,"Salt Lake City, UT",11433,DTW,"Detroit, MI",600,557,-3,20,617,1105,7,1122,1112,-10,0,,0,N,202,195,168,1,1481,,,,,,,,,
2018-11-08,DL,DL,DL,835,DL,N3768,835,13495,MSY,"New Orleans, LA",12892,LAX,"Los Angeles, CA",615,612,-3,11,623,822,12,841,834,-7,0,,0,N,266,262,239,1,1670,,,,,,,,,
2019-11-04,UA,UA_CODESHARE,UA,4713,AX,N16151,4713,11292,DEN,"Denver, CO",12003,GTF,"Great Falls, MT",1900,1853,-7,15,1908,2048,2,2105,2050,-15,0,,0,N,125,117,100,1,623,,,,,,,,,
2019-02-27,WN,WN,WN,1719,WN,N950WN,1719,14771,SFO,"San Francisco, CA",14679,SAN,"San Diego, CA",635,,,,,,,810,,,1,C,0,N,95,,,1,447,,,,,,,,,
2019-02-18,NK,NK,NK,1610,NK,N649NK,1610,12451,JAX,"Jacksonville, FL",10821,BWI,"Baltimore, MD",1900,1857,-3,13,1910,2035,6,2101,2041,-20,0,,0,N,121,104,85,1,663,,,,,,,,,
2018-11-26,AA,AA_CODESHARE,AA,5839,YV,N956LR,5839,14107,PHX,"Phoenix, AZ",13476,MRY,"Monterey, CA",1445,1455,10,30,1525,1547,3,1535,1550,15,0,,0,N,110,115,82,1,598,10,0,5,0,0,,,,
2018-03-02,DL,DL,DL,2224,DL,N948DN,2224,10397,ATL,"Atlanta, GA",14683,SAT,"San Antonio, TX",1354,1403,9,13,1416,1534,4,1531,1538,7,0,,0,N,157,155,138,1,874,,,,,,,,,
2019-10-27,DL,DL,DL,2455,DL,N584NW,2455,13204,MCO,"Orlando, FL",13487,MSP,"Minneapolis, MN",1820,1819,-1,13,1832,2025,3,2048,2028,-20,0,,0,N,208,189,173,1,1310,,,,,,,,,
2019-06-23,UA,UA_CODESHARE,UA,4671,AX,N34111,4671,13158,MAF,"Midland/Odessa, TX",11292,DEN,"Denver, CO",1110,1102,-8,14,1116,1134,7,1159,1141,-18,0,,0,N,109,99,78,1,563,,,,,,,,,
2018-02-13,DL,DL,DL,810,DL,N607AT,810,11298,DFW,"Dallas/Fort Worth, TX",14869,SLC,"Salt Lake City, UT",1816,1808,-8,13,1821,1938,3,2016,1941,-35,0,,0,N,180,153,137,1,989,,,,,,,,,
2019-03-16,UA,UA_CODESHARE,UA,3641,YX,N726YX,3641,11618,EWR,"Newark, NJ",11995,GSO,"Greensboro/High Point, NC",1629,1939,190,17,1956,2111,6,1820,2117,177,0,,0,N,111,98,75,1,445,6,0,0,0,171,,,,
2019-11-15,F9,F9,F9,2501,F9,N307FR,2501,10792,BUF,"Buffalo, NY",15304,TPA,"Tampa, FL",1629,1630,1,12,1642,1918,6,1929,1924,-5,0,,0,N,180,174,156,1,1053,,,,,,,,,
2018-11-18,UA,UA_CODESHARE,UA,3502,YX,N855RW,3502,11618,EWR,"Newark, NJ",14730,SDF,"Louisville, KY",1659,1740,41,34,1814,1959,15,1922,2014,52,0,,0,N,143,154,105,1,642,0,0,11,0,41,,,,
2018-02-26,VX,VX,VX,1948,VX,N845VA,1948,14771,SFO,"San Francisco, CA",12892,LAX,"Los Angeles, CA",2107,2135,28,12,2147,2249,9,2245,2258,13,0,,0,N,98,83,62,1,337,,,,,,,,,
2018-09-03,WN,WN,WN,1106,WN,N8630B,1106,13198,MCI,"Kansas City, MO",12191,HOU,"Houston, TX",1415,1600,105,10,1610,1748,5,1615,1753,98,0,,0,N,120,113,98,1,666,98,0,0,0,0,,,,
2018-11-12,DL,DL_CODESHARE,DL,5587,EV,N710EV,5587,10397,ATL,"Atlanta, GA",14814,SHV,"Shreveport, LA",2231,2337,66,38,15,50,8,2325,58,93,0,,0,N,114,141,95,1,551,14,0,27,0,52,,,,
2019-03-10,UA,UA,UA,1655,UA,N16709,1655,13930,ORD,"Chicago, IL",14570,RNO,"Reno, NV",1955,1948,-7,19,2007,2208,2,2228,2210,-18,0,,0,N,273,262,241,1,1671,,,,,,,,,
2018-02-10,WN,WN,WN,3804,WN,N917WN,3804,12892,LAX,"Los Angeles, CA",11292,DEN,"Denver, CO",1105,1105,0,14,1119,1409,5,1435,1414,-21,0,,0,N,150,129,110,1,862,,,,,,,,,
2018-02-23,F9,F9,F9,1701,F9,N943FR,1701,14683,SAT,"San Antonio, TX",14679,SAN,"San Diego, CA",1100,1059,-1,10,1109,1200,6,1205,1206,1,0,,0,N,185,187,171,1,1129,,,,,,,,,
